PCBs,,,,,,
PCB Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"A1, ",1,GY-PCM5102,GY-PCM5102,1x06_P2.54mm (to attach),GY-PCM5102 DAC board,Generic
"C1, ",1,470u 10V,CP1,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,Electrolytic capacitor,
"C2, C4, ",2,100n,C,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,Unpolarized bypass capacitor,
"C3, ",1,100u,CP1,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,Electrolytic capacitor,
"D1, ",1,1N4148,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,"100V 0.15A standard switching diode, DO-35",
"J1, ",1,F_PANEL,Conn_01x06,1x06_P2.54mm,"Pin header, 6 pins, 90 degree angled",
"J2, ",1,Conn_02x20_Odd_Even,Conn_02x20_Odd_Even,2x20_P2.54mm,"Generic connector, double row, 02x20",
"J3, ",1,PJ-002A,PJ-002A,Custom THT,"5.5mm barrel power jack, 3-pin footprint",CUI Devices
"J4, ",1,ROT_HDR,Conn_01x04,1x04_P2.54mm,"Pin header, 4 pins, 90 degree angled",
"J5, ",1,MIDI_IN,Conn_01x02,1x02_P2.54mm,"Pin header, 2 pins, 90 degree angled",
"J6, ",1,R_BREAKOUT,Conn_01x06,1x06_P2.54mm,"Pin header, 6 pins, vertical",
"J7, ",1,SSD1306 OLED,,1x04_P2.54mm (to attach),0.91” OLED display with SSD1306 I2C board,Generic
"R1, ",1,1k,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,
"R2, ",1,220R,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,
SW1-SW10,1,TL59NF160Q,TL59NF160Q,Custom THT,6mm square * 4.3mm tall THT SPST momentary tactile switch,E-Switch
SW11,1,PB400EEQR1BLK,PB400EEQR1BLK or PB400EEQX,,"DPST off-on pushbutton switch. PB400EEQR1BLK comes with a round black cap,  PB400EEQX is the same thing without the cap (the round cap can be discarded)",E-Switch
,1,,TACBLK ,,Rectangular pushbutton cap – black,E-Switch
"U1, ",1,H11L1,H11L1,Package_DIP:DIP-6_W7.62mm,"Schmitt Trigger Output Optocoupler, High Speed, DIP-6, 1.6mA turn on threshold",
,,,,,,
Totals:,,,,,,
"J1,J4,J5",12,Total angled pins required,,,,
"J6,A1,J7",16,Total vertical pins required,,,,
,,,,,,
,,,,,,
Other:,,,,,,
,Qnty,Cmp name,Location,Notes,,
,1,Panel-mount 180 degree 5-pin DIN connector,,"CUI Devices SD-50SN, but I’ve also seen these sold generically.",,
,12,2.54mm F-F jumper wires,,"AKA “DuPont” connectors, preferably joined in a ribbon, to be separated into 6-, 4-, and 2-wire ribbons",,
,4,M3*8mm bolt,Faceplate and DIN connector,"5-15mm length is fine, M2.5 bolts and nuts will also work here.",,
,4,M3 nut,Faceplate and DIN connector,,,
,4,M2.5*8mm bolt,Raspberry Pi,8-12mm length should work,,
,4,M2.5 nut,Raspberry Pi,,,
,2,M3*4mm screw,Faceplate and top shell,,,
,2,M3x3mm brass knurled threaded insert,Faceplate and top shell,Usually sold by 3D printing suppliers,,
,1,12mm rotary encoder with pushbutton,,"NOT pre-mounted onto a PCB. 12mm shaft height, 6mm shaft diameter",,
,4,Adhesive rubber feet,,"eg. 3M Bumpon SJ-5508, but anything will work",,
,1,Raspberry Pi 3,,Raspberry Pi 3A or 3B works with rev 1.1+ rear PCB,,
,1,Micro SD card,,Any capacity will fit mt32-pi,,
,1,5v AC adapter,,5.5*2.1mm barrel jack (to fit PJ-002A),,
,,,,,,
,,,,,,
3D printed parts,,,,,,
,Qnty,Filename,Description,Notes,,
,1,face.stl,10-button face plate,See README for printing notes,,
,1,buttonsheet.stl,10-button flexible sheet,,,
,1,knob-3.1mm.stl,Volume dial knob,See README for fitting notes,,
,1,base-din.stl,Bottom shell,"This uses the standard MIDI DIN connector, see below for the USB variant",,
,1,top.stl,Top shell,,,
,1,shim-2mm.stl,OLED shim,"Helps align the OLED on the front PCB, see README for fitting notes",,
,,,,,,
Variants,Qnty,File/component name,Description,Notes,,
,,,,,,
USB input,,,,Uses a Sparkfun Pro Micro (Arduino) board to provide USB MIDI input to the synth,,
,1,base-apm.stl,Bottom shell,See MIDIUARTUSB/README.md for notes and Arduino sketch,,
,1,Sparkfun Pro Micro board,5v version preferred,Clone boards are usually okay as long as the microcontroller is genuine.,,
,1,small strip of double-sided adhesive tape,,To stick the Pro Micro board to the base. Thickness doesn’t matter as there’s plenty of clearance.,,
,2,220R resistor,Axial lead,For 5v version of Sparkfun Pro Micro board,,
,1?,10R resistor,Axial lead,Only if using the 3.3v version of the Sparkfun Pro Micro board,,
,1?,33R resistor,Axial lead,Only if using the 3.3v version of the Sparkfun Pro Micro board,,
,,,,,,
Parts not needed for USB,-1,base-din.stl,,replaced by base-apm.stl,,
,-1,Panel-mount 180 degree 5-pin DIN connector,,replaced by Arduino,,
,-2,M3*8mm bolt,,replaced by Arduino,,
,-2,M3 nut,,replaced by Arduino,,
,,,,,,
,,,,,,
2-button face,,,,"Still looks like a 10-button faceplate, but 8 of the buttons are hard-printed onto the face (not clickable)",,
,1,face-2but.stl,2-button face plate,Must be printed standing up (not face-down due to hard printed buttons),,
,1,buttonsheet-2but.stl,2-button flexible sheet,,,
,2?,rectbutton.stl,Optional individual rectangular buttons,"These have a wider base rather than a flexible sheet, and may be easier (or harder) to print.",,
,,,,,,
Parts not needed for 2-button,-8,TL59NF160Q,Tactile switch,Only 2 are needed in the B1 and B2 positions of the front PCB,,
,-1,face.stl,10-button face plate,replaced by face-2but.stl,,
,-1,buttonsheet.stl,10-button flexible sheet,replaced by buttonsheet-2but.stl,,
